,bloque,grupo_corr,adf_pvalue,estacionaria,mi,mi_n_obs,granger_p,granger_p_fdr,granger_signif,lasso_abs,perm_imp,r_mi,r_lasso,r_perm,voto_granger,voto_mi,voto_lasso,voto_perm,votos,score
perdidas_energia_lag1,EXPOST,14,2.0663215600282946e-13,True,0.1036944641326798,1825,0.0463703038789511,0.09153618428052686,True,0.0,5.219322519113278e-05,0.16776315789473684,0.4471947194719472,0.834983498349835,1,0,0,1,2,0.4833137919055064
margen_reserva_lag1,OFERTA,107,7.093089725890275e-06,True,0.07559974992443674,1824,7.711545163146066e-31,1.065595331634729e-29,True,0.0,8.088479715007146e-05,0.10197368421052631,0.4471947194719472,0.8910891089108911,1,0,0,1,2,0.4800858375311215
demanda_por_or_lag30,DEMANDA,102,0.0008334532747312037,True,0.11297820434967676,1796,1.7882313564222104e-36,2.71811166176176e-34,True,0.0,3.548459581329544e-05,0.18092105263157895,0.4471947194719472,0.8085808580858086,1,0,0,1,2,0.4788988767297783
demanda_no_regulada_lag14,DEMANDA,97,4.734440600309519e-06,True,0.14070553508424766,1812,1.4127858913493722e-24,1.1607754350546193e-23,True,0.0,2.562102921238596e-05,0.23684210526315788,0.4471947194719472,0.7524752475247525,1,0,0,1,2,0.47883735741995254
compras_contrato_lag7,CONTRATOS,125,0.30454542305193233,False,0.24264673215917476,1819,3.1504072374229276e-30,3.990515834069042e-29,True,0.0011879039309007535,-6.179757044669776e-05,0.34539473684210525,0.9273927392739274,0.15181518151815182,1,0,1,0,2,0.4748675525447282
margen_reserva_lag0,OFERTA,116,3.1566713419376175e-06,True,0.0703884204222156,1825,6.971170765846893e-27,6.622612227554549e-26,True,0.0,7.439729616043333e-05,0.08881578947368421,0.4471947194719472,0.8811881188118812,1,0,0,1,2,0.47239954258583755
margen_reserva_lag3,OFERTA,127,7.055410381320817e-06,True,0.077519305560668,1822,5.624457351656933e-34,2.442621478433868e-32,True,0.0,6.68728984983602e-05,0.10855263157894737,0.4471947194719472,0.858085808580858,1,0,0,1,2,0.47127771987725087
demanda_regulada_lag7,DEMANDA,94,0.01612197735323767,True,0.1433160718742359,1819,9.087171556514848e-24,6.73780525165979e-23,True,0.0,1.5508004005337916e-05,0.24342105263157895,0.4471947194719472,0.7194719471947195,1,0,0,1,2,0.4700292397660819
gen_por_recurso_lag30,EXPOST,102,0.00023096694437338698,True,0.0931627879880006,1796,3.342682294396159e-36,3.387251391654775e-34,True,0.0,3.445263906218798e-05,0.14144736842105263,0.4471947194719472,0.801980198019802,1,0,0,1,2,0.46354076197093397
dem_no_atendida_noprog_lag14,EXPOST,154,0.0,True,0.0,1462,0.02202013876932783,0.047913701389572794,True,0.0,0.00010599860053193134,0.008223684210526315,0.4471947194719472,0.9240924092409241,1,0,0,1,2,0.4598369376411326
demanda_regulada_lag14,DEMANDA,96,0.015102705499654537,True,0.13808092310733322,1812,2.970824772064869e-22,2.15031126358981e-21,True,0.007101812864034112,-5.8510859845384286e-05,0.23355263157894737,0.9735973597359736,0.16501650165016502,1,0,1,0,2,0.457388830988362
consumo_combustible_lag1,EXPOST,70,0.210426835959515,False,0.8284723546814705,1825,4.274563999442491e-07,1.8302358532824186e-06,True,0.0,-5.455304064070354e-05,0.7401315789473685,0.4471947194719472,0.1716171617161716,1,1,0,0,2,0.45298115337849576
log_precio_ma30,AR,73,0.3584883348855612,False,0.9968578823813758,1811,1.3878960799207195e-07,6.697149338030139e-07,True,0.0,-0.00040579887594141,0.8651315789473685,0.4471947194719472,0.033003300330033,1,1,0,0,2,0.4484431995831162
demanda_no_regulada_lag3,DEMANDA,110,3.8042642949393693e-07,True,0.08010359083506291,1823,1.5075046566271333e-31,2.6957730330273443e-30,True,0.0,2.7728044251562612e-05,0.125,0.4471947194719472,0.7623762376237624,1,0,0,1,2,0.44485698569856985
consumo_combustible_lag3,EXPOST,70,0.21784988309569703,False,0.7276030469314096,1823,6.303744300895536e-08,3.0908681733423276e-07,True,0.0,-5.729116663522049e-05,0.7006578947368421,0.4471947194719472,0.16831683168316833,1,1,0,0,2,0.4387231486306526
aportes_pct_sistema_d7,HIDRO,23,1.61940017932791e-21,True,0.039029650414009076,1818,1.1190244343773628e-10,6.803668561014365e-10,True,0.0050916360981373985,-2.9399169628541168e-05,0.05592105263157895,0.9636963696369637,0.23432343234323433,1,0,1,0,2,0.4179802848705923
aportes_media_hist_lag7,HIDRO,20,0.031582267442196374,True,0.7890841229677088,1819,0.016760070774699955,0.03802284713066259,True,0.0,-0.0007084960337674695,0.7302631578947368,0.4471947194719472,0.013201320132013201,1,1,0,0,2,0.3968863991662324
cere_lag3,REGULATORIO,56,0.10196919488223027,False,1.0382961148795609,1823,0.18700702673450068,0.27071493393946766,False,0.0,1.1338212563083428e-05,0.9243421052631579,0.4471947194719472,0.6996699669966997,0,1,0,0,1,0.6904022639106016
trm_lag7,COSTO,40,0.10928458460231932,False,0.47162425790030493,1819,0.35946741514491753,0.45156237274402866,False,0.0021288372008559913,5.829174113625157e-07,0.5493421052631579,0.9372937293729373,0.5808580858085809,0,0,1,0,1,0.6891646401482253
trm_lag1,COSTO,41,0.10178065877037606,False,0.47353613208601386,1825,0.1896468873932787,0.27323532591259114,False,0.0005142778835769003,1.0725964118551978e-06,0.5526315789473685,0.9108910891089109,0.6006600660066007,0,0,1,0,1,0.6880609113542934
cere_lag30,REGULATORIO,58,0.10657059394863527,False,1.0488724043305022,1796,0.5212435386473029,0.6118070878331276,False,0.0,5.78708196115052e-06,0.9407894736842105,0.4471947194719472,0.66996699669967,0,1,0,0,1,0.6859837299519426
cere_lag0,REGULATORIO,56,0.10146955751867431,False,1.0683495028365364,1826,0.20585831606924804,0.2844587640229609,False,0.0,1.9926089799837676e-06,0.9638157894736842,0.4471947194719472,0.6138613861386139,0,1,0,0,1,0.6749572983614152
